Date	Name	Time	Location	location_URL	Info	info_url
9/20/25	Tournament - September Doubleheader	10am-7pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	https://docs.google.com/document/d/e/2PACX-1vQ1v1H7o0hzuzcaumcqgW8xygyduKZzqrl_6gqiptGXMxk6UmAwKxVGATR9L3n4jyuLUSFUlkh775Zd/pub
9/21/25	Tournament - September Doubleheader	9:30am-7pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	https://docs.google.com/document/d/e/2PACX-1vQ1v1H7o0hzuzcaumcqgW8xygyduKZzqrl_6gqiptGXMxk6UmAwKxVGATR9L3n4jyuLUSFUlkh775Zd/pub
10/3/25	Open gameplay	5:30pm-8:30pm	Wegmans 5th St	https://www.google.com/maps/place/Wegmans/@38.0102463,-78.4995545,17.25z/data=!4m6!3m5!1s0x89b386735fb281d5:0x634f663ab6b9bb81!8m2!3d38.008758!4d-78.500588!16s%2Fg%2F11cs6fwqs0	1st Friday	
10/17/25	Open gameplay	5:30pm-8:30pm	Wegmans 5th St	https://www.google.com/maps/place/Wegmans/@38.0102463,-78.4995545,17.25z/data=!4m6!3m5!1s0x89b386735fb281d5:0x634f663ab6b9bb81!8m2!3d38.008758!4d-78.500588!16s%2Fg%2F11cs6fwqs0	3rd Friday	
10/25/25	Tournament - October Dozen	10am-6pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	https://docs.google.com/document/d/e/2PACX-1vSmVslFaMJtYhQbkBS8v1hx_Wr5tV2mmD2zklwuJX9jJ1anye4iUgs4_1r21pyu4Ng25b8AGui3ioYe/pub
10/26/25	Tournament - October Dozen	9:30am-2pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	https://docs.google.com/document/d/e/2PACX-1vSmVslFaMJtYhQbkBS8v1hx_Wr5tV2mmD2zklwuJX9jJ1anye4iUgs4_1r21pyu4Ng25b8AGui3ioYe/pub
10/31/25	Open gameplay	5:30pm-8:30pm	Wegmans 5th St	https://www.google.com/maps/place/Wegmans/@38.0102463,-78.4995545,17.25z/data=!4m6!3m5!1s0x89b386735fb281d5:0x634f663ab6b9bb81!8m2!3d38.008758!4d-78.500588!16s%2Fg%2F11cs6fwqs0	5th Friday	
1/25/26	Tournament - January Dozen	10am-6pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	https://docs.google.com/document/d/e/2PACX-1vSkxJEpGvL7pk96NDhFi7FxsRZV8ir5oVhoqXb_ufByJSbjiEKSpWaclWiQNQqe3aJteUQBzRz5Zutt/pub
1/26/26	Tournament - January Dozen	9:30am-2pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	https://docs.google.com/document/d/e/2PACX-1vSkxJEpGvL7pk96NDhFi7FxsRZV8ir5oVhoqXb_ufByJSbjiEKSpWaclWiQNQqe3aJteUQBzRz5Zutt/pub
11/7/25	Open gameplay	5:30pm-8:30pm	Wegmans 5th St	https://www.google.com/maps/place/Wegmans/@38.0102463,-78.4995545,17.25z/data=!4m6!3m5!1s0x89b386735fb281d5:0x634f663ab6b9bb81!8m2!3d38.008758!4d-78.500588!16s%2Fg%2F11cs6fwqs0	1st Friday	
11/21/25	Open gameplay	5:30pm-8:30pm	Wegmans 5th St	https://www.google.com/maps/place/Wegmans/@38.0102463,-78.4995545,17.25z/data=!4m6!3m5!1s0x89b386735fb281d5:0x634f663ab6b9bb81!8m2!3d38.008758!4d-78.500588!16s%2Fg%2F11cs6fwqs0	3rd Friday	
12/5/25	Open gameplay	5:30pm-8:30pm	Wegmans 5th St	https://www.google.com/maps/place/Wegmans/@38.0102463,-78.4995545,17.25z/data=!4m6!3m5!1s0x89b386735fb281d5:0x634f663ab6b9bb81!8m2!3d38.008758!4d-78.500588!16s%2Fg%2f11cs6fwqs0	1st Friday	
12/16/25	Tournament - Night Bird	6pm-9:30pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	
12/17/25	Tournament - Early Bird #1	4pm-9:30pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	
12/18/25	Tournament - Early Bird #2	10am-7pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	
12/19/25	Tournament - Main Event Day 1	11am-7pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	
12/20/25	Tournament - Main Event Day 2	9am-7pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	
12/21/25	Tournament - Main Event Day 3	9am-3pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	
12/22/25	Tournament - Late Bird	10am-3pm	801 Walker Square	https://www.google.com/maps/place/801+Walker+Square,+Charlottesville,+VA+22903/@38.0304795,-78.4913809,18z/data=!3m1!4b1!4m6!3m5!1s0x89b3863be8314cb7:0xe52f84d897f0da76!8m2!3d38.0307013!4d-78.4913548!16s%2Fg%2F11b8v68y7r?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D	details and registration	
